"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,2,"Q2",4,"2020-04",3,20200403,"2020-04-03","mex","México",21,"Puebla",202,14,152.7142791748047,14.857142448425293,0.2119782567024231,3.0585434436798096,12,"solid"
2020,2,"Q2",4,"2020-04",3,20200403,"2020-04-03","mex","México",30,"Veracruz de Ignacio de la Llave",61,8,42.57143020629883,4.4285712242126465,0.09367832541465759,0.7142972350120544,2,"solid"
2020,2,"Q2",4,"2020-04",4,20200404,"2020-04-04","mex","México",7,"Chiapas",29,1,20.85714340209961,2.2857143878936768,0.017450889572501183,0.5060757994651794,0,"solid"
2020,2,"Q2",4,"2020-04",4,20200404,"2020-04-04","mex","México",12,"Guerrero",41,2,35,2.142857074737549,0.054688919335603714,1.1211228370666504,0,"solid"
2020,2,"Q2",4,"2020-04",4,20200404,"2020-04-04","mex","México",20,"Oaxaca",33,2,26.714284896850586,2.2857143878936768,0.048267289996147156,0.7964102625846863,0,"solid"
2020,2,"Q2",4,"2020-04",4,20200404,"2020-04-04","mex","México",21,"Puebla",213,11,167.2857208251953,14.571428298950195,0.16655434668064117,3.22509765625,13,"solid"
2020,2,"Q2",4,"2020-04",4,20200404,"2020-04-04","mex","México",30,"Veracruz de Ignacio de la Llave",63,2,47.14285659790039,4.5714287757873535,0.023419581353664398,0.7377168536186218,3,"solid"
2020,2,"Q2",4,"2020-04",5,20200405,"2020-04-05","mex","México",7,"Chiapas",30,1,23.285715103149414,2.4285714626312256,0.017450889572501183,0.523526668548584,0,"solid"
2020,2,"Q2",4,"2020-04",5,20200405,"2020-04-05","mex","México",12,"Guerrero",44,3,37.42856979370117,2.4285714626312256,0.08203338086605072,1.2031562328338623,0,"solid"
2020,2,"Q2",4,"2020-04",5,20200405,"2020-04-05","mex","México",20,"Oaxaca",35,2,29,2.2857143878936768,0.048267289996147156,0.8446775674819946,0,"solid"
2020,2,"Q2",4,"2020-04",5,20200405,"2020-04-05","mex","México",21,"Puebla",222,9,182.57142639160156,15.285714149475098,0.13627173006534576,3.3613693714141846,14,"solid"
2020,2,"Q2",4,"2020-04",5,20200405,"2020-04-05","mex","México",30,"Veracruz de Ignacio de la Llave",65,2,51.85714340209961,4.714285850524902,0.023419581353664398,0.7611364126205444,4,"solid"
2020,2,"Q2",4,"2020-04",6,20200406,"2020-04-06","mex","México",7,"Chiapas",35,5,26.14285659790039,2.857142925262451,0.08725444972515106,0.6107811331748962,0,"solid"
2020,2,"Q2",4,"2020-04",6,20200406,"2020-04-06","mex","México",12,"Guerrero",52,8,40.71428680419922,3.2857143878936768,0.21875567734241486,1.4219118356704712,1,"solid"
2020,2,"Q2",4,"2020-04",6,20200406,"2020-04-06","mex","México",20,"Oaxaca",40,5,31.714284896850586,2.7142856121063232,0.12066822499036789,0.9653457999229431,0,"solid"
2020,2,"Q2",4,"2020-04",6,20200406,"2020-04-06","mex","México",21,"Puebla",246,24,199,16.428571701049805,0.36339128017425537,3.7247607707977295,15,"solid"
2020,2,"Q2",4,"2020-04",6,20200406,"2020-04-06","mex","México",30,"Veracruz de Ignacio de la Llave",71,6,56.85714340209961,5,0.0702587440609932,0.831395149230957,5,"solid"
2020,2,"Q2",4,"2020-04",7,20200407,"2020-04-07","mex","México",7,"Chiapas",37,2,29,2.857142925262451,0.034901779145002365,0.6456829309463501,0,"solid"
